"","BasoE.Infected.12","BasoE.Infected.22","BasoE.Infected.31","BasoE.Infected.32"
"PF3D7_1434300",755.118894822131,270.830841313439,626.308242546108,651.944498729724
"PF3D7_1447100",45.7647815043716,74.4784813611958,56.5090143650624,20.3244088333008
"PF3D7_1420700",3519.7277411544,3019.76388064485,2700.65997819694,2603.0877467266
"PF3D7_1454000",76.9680416209886,63.1938629731358,110.663486464914,62.5366425640023
"PF3D7_1421400",81.1284763032042,90.2769471044798,58.8635566302733,89.1147156537033
"PF3D7_1466300",684.391505224466,706.417111092554,689.880883706803,492.476060191518
"PF3D7_1463000",85.2889109854197,47.3953972298519,101.24531740407,128.200117256205
"PF3D7_1457200",528.375204641381,352.080093707471,369.663135638116,354.895446550713
"PF3D7_1412300",366.118252034973,354.337017385083,503.872044755139,387.727183896815
"PF3D7_1402100",37.4439121399404,110.589260202988,23.5454226521093,85.9878835255032
"PF3D7_1450000",141.45477919533,187.324665241796,32.963591712953,433.066249755716
"PF3D7_1438100",87.3691283265276,74.4784813611958,110.663486464914,60.9732264999023
"PF3D7_1442300",158.096517924193,164.755428465676,525.062925142038,245.456322063709
"PF3D7_1441100",1227.3282312536,1058.49720480003,1210.23472431842,1167.87179988274
"PF3D7_1405500",95.6899976909587,83.5061760716438,32.963591712953,76.6073871409029
"PF3D7_1419300",56.1658682099106,275.344688668663,141.272535912656,104.748876294704
"PF3D7_1446900",299.551297119523,146.70003904478,296.672325416577,101.622044166504
"PF3D7_1438500",170.577821970839,74.4784813611958,72.9908102215389,40.6488176666015
"PF3D7_1474600",122.73282312536,60.9369392955238,77.6998947519607,17.1975767051006
"PF3D7_1410600",1414.5477919533,1087.83721260898,1316.18912625291,1267.93042798515
"PF3D7_1422700",355.717165329434,413.017033002995,174.236127625609,209.497752589408
"PF3D7_1455500",183.059126017486,72.2215576835838,153.045247238711,343.951534102013
"PF3D7_1402300",195.540430064133,787.666363486586,178.945212156031,234.512409615009
"PF3D7_1409900",278.749123708445,306.941620155231,218.972430664617,139.144029704905
"PF3D7_1430300",131.053692489791,160.241581110452,195.427008012507,167.285518858706
"PF3D7_1437900",701.033243953328,993.046418149277,795.835285641295,572.210279460621
"PF3D7_1426100",416.04346822156,489.752438041803,489.744791163874,297.049052179011
"PF3D7_1420000",351.556730647218,304.684696477619,576.862854976678,811.41293726793
"PF3D7_1404500",43.6845641632638,255.032375570155,51.7999298346405,153.214774281806
"PF3D7_1431800",52.005433527695,115.103107558212,145.981620443078,54.719562243502
"PF3D7_1470300",54.0856508688028,83.5061760716438,80.0544370171717,71.9171389486027
"PF3D7_1453400",278.749123708445,117.360031235824,216.617888399406,240.766073871409
"PF3D7_1446300",191.379995381917,469.440124943295,263.708733703624,281.414891538011
"PF3D7_1470600",62.406520233234,126.387725946272,61.2180988954842,190.736759820207
"PF3D7_1407100",909.054978064108,539.404758949267,477.972079837819,207.934336525308
"PF3D7_1457900",253.786515615151,252.775451892543,197.781550277718,317.373461012312
"PF3D7_1436300",4613.9220625771,2832.43921540305,4775.01171384777,3661.52042212234
"PF3D7_1456300",54.0856508688028,54.1661682626879,49.4453875694296,37.5219855384014
"PF3D7_1412700",45.7647815043716,205.380054662691,136.563451382234,98.4952120383037
"PF3D7_1407900",809.204545690934,631.938629731358,854.698842271568,555.012702755521
"PF3D7_1452400",162.256952606408,255.032375570155,164.817958564765,292.358803986711
"PF3D7_1432900",91.5295630087432,22.5692367761199,65.9271834259061,79.734219269103
"PF3D7_1414700",251.706298274044,171.526199498512,190.717923482085,214.188000781708
"PF3D7_1438900",359.877600011649,336.281627964187,609.826446689631,375.219855384014
"PF3D7_1448000",738.477156093269,480.724743331355,456.781199450921,475.278483486418
"PF3D7_1449700",126.893257807576,51.9092445850759,291.963240886156,126.636701192105
"PF3D7_1451800",114.411953760929,24.8261604537319,178.945212156031,145.397693961305
"PF3D7_1464900",436.845641632638,345.309322674635,145.981620443078,337.697869845613
"PF3D7_1451400",116.492171102037,36.1107788417919,120.081655525758,79.734219269103
"PF3D7_1466900",382.759990763835,311.455467510455,188.363381216875,204.807504397108
"PF3D7_1420400",295.390862437307,345.309322674635,110.663486464914,281.414891538011
"PF3D7_1408000",341.155643941679,514.578598495535,534.481094202881,372.093023255814
"PF3D7_1451000",280.829341049553,286.629307056723,470.908453042186,175.102599179207
"PF3D7_1402500",528.375204641381,792.18021084181,522.708382876827,573.773695524722
"PF3D7_1421500",47.8449988454794,58.6800156179118,82.4089792823826,73.4805550127028
"PF3D7_1457000",1148.2799722915,677.077103283598,456.781199450921,653.507914793825
"PF3D7_1457300",582.460855510184,288.886230734335,426.172150003179,395.544264217315
"PF3D7_1414500",748.878242798808,656.76479018509,522.708382876827,642.564002345124
"PF3D7_1429800",495.091727183656,722.215576835838,437.944861329233,653.507914793825
"PF3D7_1438400",143.534996536438,191.83851259702,145.981620443078,76.6073871409029
"PF3D7_1401300",210.101951451888,130.901573301496,84.7635215475935,209.497752589408
"PF3D7_1415400",216.342603475211,51.9092445850759,167.172500829976,225.131913230408
