"","PolyE.Infected.11","PolyE.Infected.12","PolyE.Infected.21","PolyE.Infected.22","PolyE.Infected.31"
"PF3D7_0309800",145.954393405235,21.8744588350028,77.9851828152651,100.498324619393,93.7211957792788
"PF3D7_0323500",81.8768548370829,32.8116882525042,187.964286785511,78.4377167761118,57.1785277002022
"PF3D7_0317600",818.768548370829,563.267315001322,845.839290534798,656.915877999936,458.288049085831
"PF3D7_0321800",606.363374228251,676.285352315503,1071.79635869185,914.289636171553,1194.73028931475
"PF3D7_0310800",62.8909174835564,96.6121931879289,63.9878423099611,38.4017988383047,26.2247382685138
"PF3D7_0306300",42.7183590454345,52.8632755179234,43.9916415880983,63.7306448805908,30.5238756895816
"PF3D7_0321700",39.1584957916483,142.183982427518,105.979863825873,50.6576920845722,89.8519721003178
"PF3D7_0309300",242.070701257462,415.614717865053,247.952888951099,276.983187365645,461.297445280579
"PF3D7_0301400",56.9578120605794,80.2063490616769,1.99962007218628,83.3400740746188,32.6734444001156
"PF3D7_0312800",1089.31815565858,1053.6197672193,893.830172267269,1032.76327088547,779.003700697492
"PF3D7_0307700",91.3698235138461,144.006853997102,107.979483898059,64.547704430342,234.732903190304
"PF3D7_0301500",72.3838861603196,54.6861470875069,57.9889820934023,66.1818235298443,79.534042289755
"PF3D7_0310300",355.986325378621,692.691196441755,419.92021515912,459.187466960154,415.296674875153
"PF3D7_0305700",119.848729544136,94.7893216183454,51.9901218768434,87.4253718233746,51.589649052814
"PF3D7_0320500",47.4648433838162,23.6973304045863,31.9939211549806,142.985421206454,77.8143873213279
"PF3D7_0312900",29.6655271148851,160.412698123354,69.98670252652,110.303039216407,102.749384363521
"PF3D7_0303100",35.5986325378621,9.11435784791782,109.979103970246,87.4253718233746,93.2912820371721
"PF3D7_0307200",2672.27068250885,2101.77091972985,2987.43238784631,2812.31897024351,2360.65635790835
"PF3D7_0312300",73.570507244915,207.807358932526,105.979863825873,107.851860567154,229.144024542916
"PF3D7_0304300",36.7852536224575,82.0292206312604,39.9924014437257,128.278349310933,81.2536972581821
"PF3D7_0308600",369.039157309171,184.11002852794,407.922494726002,347.250308644245,373.165128148688
"PF3D7_0311100",138.834666897662,67.4462480745919,109.979103970246,134.814825708942,73.9451636423668
"PF3D7_0305500",1554.47362081998,2081.71933246443,1909.6371689379,2319.63206174356,2592.80977864601
"PF3D7_0314500",98.4895500214185,122.132395162099,37.9927813715394,147.07071895521,144.451017347879
"PF3D7_0320900",221.898142819341,253.379148172116,217.958587868305,182.20427959451,115.646796626725
"PF3D7_0322000",469.90194949978,222.390331489195,203.961247363001,377.481511985038,297.500309537894
"PF3D7_0319600",194.605857873646,144.006853997102,429.918315520051,334.994415397977,198.190235111227
"PF3D7_0309500",454.47587540004,355.459956068795,241.95402873454,577.661101674073,422.605208490968
"PF3D7_0320100",36.7852536224575,5.4686147087507,23.9954408662354,35.1335606393001,18.9162046526985
"PF3D7_0310200",967.096183945254,1505.69191647602,1499.71505413971,1186.37046623869,1484.92206523683
"PF3D7_0322300",28.4789060302897,43.7489176700056,9.99810036093142,71.9012403781025,35.2529268527563
"PF3D7_0307800",155.447362081998,282.545093285453,31.9939211549806,113.571277415412,206.358596211256
"PF3D7_0315200",58.1444331451748,100.257936327096,61.9882222377748,117.656575164168,79.1041285476482
"PF3D7_0313500",93.7430656830369,38.2803029612549,47.9908817324708,62.9135853308397,174.544979295354
"PF3D7_0318300",275.296091626134,242.441918754614,217.958587868305,451.016871462643,538.6819188598
"PF3D7_0317200",13.0528319305494,49.2175323787563,53.9897419490297,52.2918111840745,24.5050833000867
