"","ProE.Infected.21","ProE.Infected.22","ProE.Infected.31","ProE.Infected.32"
"PF3D7_0517000",1386.30250362094,1153.59190498205,1418.78643278831,1799.04853667349
"PF3D7_0517300",1717.35981791848,1905.37089924001,1904.99976087869,1667.31904131037
"PF3D7_0529900",120.008276432857,276.51641168109,111.58994415189,293.568589666386
"PF3D7_0516600",148.975791433892,56.1673961227214,61.1087789403206,120.438395760568
"PF3D7_0525100",550.382785019657,773.381838920549,975.083559612942,700.048175358304
"PF3D7_0501200",765.570039313056,674.008753472657,531.380686437571,286.04118993135
"PF3D7_0516300",95.1789778605421,77.7702407853066,185.98324025315,67.7465976153198
"PF3D7_0528800",124.146492861577,332.683807803812,321.48531529473,346.260387811634
"PF3D7_0530700",206.910821435961,95.0525165153747,159.414205931271,71.5102974828375
"PF3D7_0513200",629.008897165322,600.559081619868,616.401596267582,560.791280260147
"PF3D7_0503300",620.732464307883,803.625821448168,852.866001732301,398.952185956883
"PF3D7_0521000",169.666873577488,358.607221398914,395.87861139599,169.366494038299
"PF3D7_0501000",744.87895716946,635.123633080004,935.230008130124,839.305070456462
"PF3D7_0518500",558.659217877095,108.014223312926,273.661053515349,1076.41816211008
"PF3D7_0514800",74.487895716946,146.899343705579,225.836791735968,199.476092978442
"PF3D7_0508300",120.008276432857,73.4496718527896,66.4225858046963,143.020594965675
"PF3D7_0517400",372.43947858473,635.123633080004,366.652673641924,331.205588341563
"PF3D7_0527500",624.870680736602,613.520788417419,589.832561945703,937.161267011923
"PF3D7_0519600",144.837575005173,125.296499042994,220.522984871592,116.674695893051
"PF3D7_0516200",637.28533002276,246.272429153471,313.514604998167,210.767192580995
"PF3D7_0521700",53.7968135733499,120.975930110477,178.012529956586,150.547994700711
"PF3D7_0522200",78.6261121456652,103.693654380409,37.19664805063,63.982897747802
"PF3D7_0525500",331.057314297538,276.51641168109,124.874461312829,188.184993375888
"PF3D7_0526500",1001.44837575005,423.415755386669,276.317956947537,263.458990726243
"PF3D7_0519900",153.114007862611,51.8468271902044,58.4518755081328,37.6369986751776
"PF3D7_0526800",136.561142147734,432.056893251703,337.426735887857,203.239792845959
"PF3D7_0503600",136.561142147734,43.2056893251703,58.4518755081328,143.020594965675
"PF3D7_0532200",53.7968135733499,203.066739828301,47.8242617793814,191.948693243406
"PF3D7_0515000",322.780881440099,280.836980613607,271.004150083161,368.842587016741
"PF3D7_0517200",227.601903579557,384.530634994016,199.267757414089,530.681681320005
"PF3D7_0511000",670.391061452514,479.583151509391,542.008300166322,1001.14416475973
"PF3D7_0513300",227.601903579557,129.617067975511,385.250997667239,244.640491388655
"PF3D7_0507700",202.772605007242,190.105033030749,103.619233855326,90.3287968204263
"PF3D7_0508500",70.3496792882268,51.8468271902044,268.347246650973,37.6369986751776
"PF3D7_0523400",144.837575005173,108.014223312926,164.728012795647,97.8561965554619
"PF3D7_0514900",49.6585971446307,99.3730854478918,148.78659220252,146.784294833193
"PF3D7_0502400",620.732464307883,786.3435457181,669.539664911339,312.387089003974
"PF3D7_0509800",562.797434305814,250.592998085988,395.87861139599,929.633867276888
"PF3D7_0527100",434.512725015518,358.607221398914,127.531364745017,677.465976153198
"PF3D7_0500800",318.64266501138,401.812910724084,196.610853981901,436.589184632061
"PF3D7_0518100",148.975791433892,86.4113786503407,74.3932961012599,37.6369986751776
"PF3D7_0502000",78.6261121456652,276.51641168109,217.866081439404,56.4554980127665
"PF3D7_0524100",115.870060004138,280.836980613607,220.522984871592,398.952185956883
"PF3D7_0527400",45.5203807159114,51.8468271902044,50.4811652115692,338.732988076599
"PF3D7_0517700",674.529277881233,872.754924368441,908.660973808246,752.739973503553
"PF3D7_0507100",1998.75853507138,2467.04486046723,2292.90766197812,2683.51800554017
"PF3D7_0519800",657.976412166356,470.942013644357,356.025059913172,338.732988076599
"PF3D7_0528700",148.975791433892,60.4879650552385,119.560654448453,199.476092978442
"PF3D7_0532100",3285.74384440306,3914.43545286043,3679.81125358018,2100.14452607491
"PF3D7_0511500",9104.07614318229,8139.95186886209,7141.75642572095,7508.58123569794
"PF3D7_0526900",169.666873577488,384.530634994016,63.7656823725085,139.256895098157
"PF3D7_0520600",136.561142147734,82.0908097178236,74.3932961012599,417.770685294472
"PF3D7_0518300",74.487895716946,198.746170895784,201.924660846277,154.311694568228
"PF3D7_0520000",2209.80757293606,2104.1170701358,2229.14197960561,2258.21992051066
"PF3D7_0524000",3385.06103869232,2782.44639254097,3076.69417447353,2363.60351680116
"PF3D7_0515300",124.146492861577,272.195842748573,135.502075041581,143.020594965675
"PF3D7_0524400",393.130560728326,203.066739828301,199.267757414089,150.547994700711
"PF3D7_0519500",521.415270018622,445.018600049254,478.242617793814,82.8013970853908
"PF3D7_0507800",1320.09104076143,725.855580662862,1025.56472482451,1441.4970492593
"PF3D7_0501300",11214.5665218291,10088.5284574273,10593.073984133,12800.3432494279
"PF3D7_0520800",227.601903579557,164.181619435647,284.2886672441,161.839094303264
"PF3D7_0530600",45.5203807159114,77.7702407853066,61.1087789403206,71.5102974828375
"PF3D7_0409400",124.146492861577,99.3730854478918,236.464405464719,451.643984102132
"PF3D7_0413600",219.325470722119,203.066739828301,491.527134954753,365.078887149223
"PF3D7_0402400",372.43947858473,241.951860220954,212.552274575028,342.496687944117
"PF3D7_0424600",426.23629215808,492.544858306942,348.054349616609,184.42129350837
"PF3D7_0404600",657.976412166356,341.324945668846,526.066879573195,210.767192580995
"PF3D7_0422500",1088.35092075316,1192.4770253747,1320.48100579736,971.034565819583
"PF3D7_0401800",314.504448582661,375.889497128982,223.17988830378,158.075394435746
"PF3D7_0423600",446.927374301676,367.248359263948,488.870231522565,493.044682644827
"PF3D7_0409200",153.114007862611,462.300875779323,289.602474108476,176.893893773335
"PF3D7_0420700",504.862404303745,522.788840834561,180.669433388774,496.808382512345
"PF3D7_0416800",343.471963583695,129.617067975511,180.669433388774,135.49319523064
"PF3D7_0411000",2706.39354438237,2181.8873109211,2909.3092582457,2770.08310249307
"PF3D7_0416000",95.1789778605421,600.559081619868,58.4518755081328,417.770685294472
"PF3D7_0406000",78.6261121456652,358.607221398914,79.7071029656356,67.7465976153198
"PF3D7_0406500",1117.31843575419,894.357769031026,951.171428723252,779.085872576177
"PF3D7_0409800",397.268777157045,185.784464098232,584.518755081328,158.075394435746
"PF3D7_0424500",509.000620732464,777.702407853066,735.962250716035,632.301577742984
"PF3D7_0422700",335.195530726257,259.234135951022,276.317956947537,617.246778272913
"PF3D7_0403200",103.455410717981,190.105033030749,286.945570676288,188.184993375888
"PF3D7_0407200",91.0407614318229,241.951860220954,100.962330423138,56.4554980127665
